"release_name","scan_timestamp","configured_limits","xmp_file_total","other_file_total","blocker_total","review_total","path","byte_size","sha256","normalized_settings_sha256","preset_name","preset_group","preset_identifier","preset_type","process_version","creator_tool","camera_profile_reference","compatibility_flags","declared_namespaces","active_setting_count","active_setting_names","camera_raw_property_names","status","check_id","severity","evidence"
"fictional-xmp-release.zip","2026-08-31T05:00:00.000Z","50 MB ZIP · 100 MB expanded · 500 XMP files · 2 MB per XMP · 5,000 entries · 240-character paths","7","1","0","24","Duplicates/exact-copy.xmp","850","389157f64617ee4f3291b9f034c43ada216ebaab50e6168752e19d2b81bedff7","bda8561a15fdd0927dfc79ac2d662e25a45313a53277003df3de2dce5465af9b","Fictional Soft Portrait","Fictional Studio Set","B1A8770E-EB38-4EDB-AEED-164933D55796","Normal","15.4","Fictional Preset Exporter 1.0","","SupportsAmount=true | SupportsColor=true | SupportsMonochrome=true | SupportsHighDynamicRange= | SupportsNormalDynamicRange= | SupportsSceneReferred= | SupportsOutputReferred= | RequiresRGBTables= | CameraModelRestriction=","crs=http://ns.adobe.com/camera-raw-settings/1.0/ | rdf=http://www.w3.org/1999/02/22-rdf-syntax-ns# | x=adobe:ns:meta/ | xmp=http://ns.adobe.com/xap/1.0/","3","Contrast2012 | Exposure2012 | Texture","Contrast2012 | Exposure2012 | Group | HasSettings | Name | PresetType | ProcessVersion | SupportsAmount | SupportsColor | SupportsMonochrome | Texture | UUID","review","duplicate-name-in-group","review","The same displayed group and name also appear at: Duplicates/exact.xmp, Portraits/soft-portrait.xmp"
"fictional-xmp-release.zip","2026-08-31T05:00:00.000Z","50 MB ZIP · 100 MB expanded · 500 XMP files · 2 MB per XMP · 5,000 entries · 240-character paths","7","1","0","24","Duplicates/exact-copy.xmp","850","389157f64617ee4f3291b9f034c43ada216ebaab50e6168752e19d2b81bedff7","bda8561a15fdd0927dfc79ac2d662e25a45313a53277003df3de2dce5465af9b","Fictional Soft Portrait","Fictional Studio Set","B1A8770E-EB38-4EDB-AEED-164933D55796","Normal","15.4","Fictional Preset Exporter 1.0","","SupportsAmount=true | SupportsColor=true | SupportsMonochrome=true | SupportsHighDynamicRange= | SupportsNormalDynamicRange= | SupportsSceneReferred= | SupportsOutputReferred= | RequiresRGBTables= | CameraModelRestriction=","crs=http://ns.adobe.com/camera-raw-settings/1.0/ | rdf=http://www.w3.org/1999/02/22-rdf-syntax-ns# | x=adobe:ns:meta/ | xmp=http://ns.adobe.com/xap/1.0/","3","Contrast2012 | Exposure2012 | Texture","Contrast2012 | Exposure2012 | Group | HasSettings | Name | PresetType | ProcessVersion | SupportsAmount | SupportsColor | SupportsMonochrome | Texture | UUID","review","exact-duplicate","review","Identical bytes also appear at: Duplicates/exact.xmp, Portraits/soft-portrait.xmp"
"fictional-xmp-release.zip","2026-08-31T05:00:00.000Z","50 MB ZIP · 100 MB expanded · 500 XMP files · 2 MB per XMP · 5,000 entries · 240-character paths","7","1","0","24","Duplicates/exact-copy.xmp","850","389157f64617ee4f3291b9f034c43ada216ebaab50e6168752e19d2b81bedff7","bda8561a15fdd0927dfc79ac2d662e25a45313a53277003df3de2dce5465af9b","Fictional Soft Portrait","Fictional Studio Set","B1A8770E-EB38-4EDB-AEED-164933D55796","Normal","15.4","Fictional Preset Exporter 1.0","","SupportsAmount=true | SupportsColor=true | SupportsMonochrome=true | SupportsHighDynamicRange= | SupportsNormalDynamicRange= | SupportsSceneReferred= | SupportsOutputReferred= | RequiresRGBTables= | CameraModelRestriction=","crs=http://ns.adobe.com/camera-raw-settings/1.0/ | rdf=http://www.w3.org/1999/02/22-rdf-syntax-ns# | x=adobe:ns:meta/ | xmp=http://ns.adobe.com/xap/1.0/","3","Contrast2012 | Exposure2012 | Texture","Contrast2012 | Exposure2012 | Group | HasSettings | Name | PresetType | ProcessVersion | SupportsAmount | SupportsColor | SupportsMonochrome | Texture | UUID","review","mixed-compatibility-flags","review","Compatibility and support flags differ across the pack."
"fictional-xmp-release.zip","2026-08-31T05:00:00.000Z","50 MB ZIP · 100 MB expanded · 500 XMP files · 2 MB per XMP · 5,000 entries · 240-character paths","7","1","0","24","Duplicates/exact-copy.xmp","850","389157f64617ee4f3291b9f034c43ada216ebaab50e6168752e19d2b81bedff7","bda8561a15fdd0927dfc79ac2d662e25a45313a53277003df3de2dce5465af9b","Fictional Soft Portrait","Fictional Studio Set","B1A8770E-EB38-4EDB-AEED-164933D55796","Normal","15.4","Fictional Preset Exporter 1.0","","SupportsAmount=true | SupportsColor=true | SupportsMonochrome=true | SupportsHighDynamicRange= | SupportsNormalDynamicRange= | SupportsSceneReferred= | SupportsOutputReferred= | RequiresRGBTables= | CameraModelRestriction=","crs=http://ns.adobe.com/camera-raw-settings/1.0/ | rdf=http://www.w3.org/1999/02/22-rdf-syntax-ns# | x=adobe:ns:meta/ | xmp=http://ns.adobe.com/xap/1.0/","3","Contrast2012 | Exposure2012 | Texture","Contrast2012 | Exposure2012 | Group | HasSettings | Name | PresetType | ProcessVersion | SupportsAmount | SupportsColor | SupportsMonochrome | Texture | UUID","review","normalized-setting-match","review","The same normalized Camera Raw setting payload also appears at: Duplicates/exact.xmp, Duplicates/settings-a.xmp, Duplicates/settings-b.xmp, Portraits/soft-portrait.xmp"
"fictional-xmp-release.zip","2026-08-31T05:00:00.000Z","50 MB ZIP · 100 MB expanded · 500 XMP files · 2 MB per XMP · 5,000 entries · 240-character paths","7","1","0","24","Duplicates/exact-copy.xmp","850","389157f64617ee4f3291b9f034c43ada216ebaab50e6168752e19d2b81bedff7","bda8561a15fdd0927dfc79ac2d662e25a45313a53277003df3de2dce5465af9b","Fictional Soft Portrait","Fictional Studio Set","B1A8770E-EB38-4EDB-AEED-164933D55796","Normal","15.4","Fictional Preset Exporter 1.0","","SupportsAmount=true | SupportsColor=true | SupportsMonochrome=true | SupportsHighDynamicRange= | SupportsNormalDynamicRange= | SupportsSceneReferred= | SupportsOutputReferred= | RequiresRGBTables= | CameraModelRestriction=","crs=http://ns.adobe.com/camera-raw-settings/1.0/ | rdf=http://www.w3.org/1999/02/22-rdf-syntax-ns# | x=adobe:ns:meta/ | xmp=http://ns.adobe.com/xap/1.0/","3","Contrast2012 | Exposure2012 | Texture","Contrast2012 | Exposure2012 | Group | HasSettings | Name | PresetType | ProcessVersion | SupportsAmount | SupportsColor | SupportsMonochrome | Texture | UUID","review","repeated-identifier","review","The same preset identifier also appears at: Duplicates/exact.xmp, Portraits/soft-portrait.xmp"
"fictional-xmp-release.zip","2026-08-31T05:00:00.000Z","50 MB ZIP · 100 MB expanded · 500 XMP files · 2 MB per XMP · 5,000 entries · 240-character paths","7","1","0","24","Duplicates/exact.xmp","850","389157f64617ee4f3291b9f034c43ada216ebaab50e6168752e19d2b81bedff7","bda8561a15fdd0927dfc79ac2d662e25a45313a53277003df3de2dce5465af9b","Fictional Soft Portrait","Fictional Studio Set","B1A8770E-EB38-4EDB-AEED-164933D55796","Normal","15.4","Fictional Preset Exporter 1.0","","SupportsAmount=true | SupportsColor=true | SupportsMonochrome=true | SupportsHighDynamicRange= | SupportsNormalDynamicRange= | SupportsSceneReferred= | SupportsOutputReferred= | RequiresRGBTables= | CameraModelRestriction=","crs=http://ns.adobe.com/camera-raw-settings/1.0/ | rdf=http://www.w3.org/1999/02/22-rdf-syntax-ns# | x=adobe:ns:meta/ | xmp=http://ns.adobe.com/xap/1.0/","3","Contrast2012 | Exposure2012 | Texture","Contrast2012 | Exposure2012 | Group | HasSettings | Name | PresetType | ProcessVersion | SupportsAmount | SupportsColor | SupportsMonochrome | Texture | UUID","review","duplicate-name-in-group","review","The same displayed group and name also appear at: Duplicates/exact-copy.xmp, Portraits/soft-portrait.xmp"
"fictional-xmp-release.zip","2026-08-31T05:00:00.000Z","50 MB ZIP · 100 MB expanded · 500 XMP files · 2 MB per XMP · 5,000 entries · 240-character paths","7","1","0","24","Duplicates/exact.xmp","850","389157f64617ee4f3291b9f034c43ada216ebaab50e6168752e19d2b81bedff7","bda8561a15fdd0927dfc79ac2d662e25a45313a53277003df3de2dce5465af9b","Fictional Soft Portrait","Fictional Studio Set","B1A8770E-EB38-4EDB-AEED-164933D55796","Normal","15.4","Fictional Preset Exporter 1.0","","SupportsAmount=true | SupportsColor=true | SupportsMonochrome=true | SupportsHighDynamicRange= | SupportsNormalDynamicRange= | SupportsSceneReferred= | SupportsOutputReferred= | RequiresRGBTables= | CameraModelRestriction=","crs=http://ns.adobe.com/camera-raw-settings/1.0/ | rdf=http://www.w3.org/1999/02/22-rdf-syntax-ns# | x=adobe:ns:meta/ | xmp=http://ns.adobe.com/xap/1.0/","3","Contrast2012 | Exposure2012 | Texture","Contrast2012 | Exposure2012 | Group | HasSettings | Name | PresetType | ProcessVersion | SupportsAmount | SupportsColor | SupportsMonochrome | Texture | UUID","review","exact-duplicate","review","Identical bytes also appear at: Duplicates/exact-copy.xmp, Portraits/soft-portrait.xmp"
"fictional-xmp-release.zip","2026-08-31T05:00:00.000Z","50 MB ZIP · 100 MB expanded · 500 XMP files · 2 MB per XMP · 5,000 entries · 240-character paths","7","1","0","24","Duplicates/exact.xmp","850","389157f64617ee4f3291b9f034c43ada216ebaab50e6168752e19d2b81bedff7","bda8561a15fdd0927dfc79ac2d662e25a45313a53277003df3de2dce5465af9b","Fictional Soft Portrait","Fictional Studio Set","B1A8770E-EB38-4EDB-AEED-164933D55796","Normal","15.4","Fictional Preset Exporter 1.0","","SupportsAmount=true | SupportsColor=true | SupportsMonochrome=true | SupportsHighDynamicRange= | SupportsNormalDynamicRange= | SupportsSceneReferred= | SupportsOutputReferred= | RequiresRGBTables= | CameraModelRestriction=","crs=http://ns.adobe.com/camera-raw-settings/1.0/ | rdf=http://www.w3.org/1999/02/22-rdf-syntax-ns# | x=adobe:ns:meta/ | xmp=http://ns.adobe.com/xap/1.0/","3","Contrast2012 | Exposure2012 | Texture","Contrast2012 | Exposure2012 | Group | HasSettings | Name | PresetType | ProcessVersion | SupportsAmount | SupportsColor | SupportsMonochrome | Texture | UUID","review","mixed-compatibility-flags","review","Compatibility and support flags differ across the pack."
"fictional-xmp-release.zip","2026-08-31T05:00:00.000Z","50 MB ZIP · 100 MB expanded · 500 XMP files · 2 MB per XMP · 5,000 entries · 240-character paths","7","1","0","24","Duplicates/exact.xmp","850","389157f64617ee4f3291b9f034c43ada216ebaab50e6168752e19d2b81bedff7","bda8561a15fdd0927dfc79ac2d662e25a45313a53277003df3de2dce5465af9b","Fictional Soft Portrait","Fictional Studio Set","B1A8770E-EB38-4EDB-AEED-164933D55796","Normal","15.4","Fictional Preset Exporter 1.0","","SupportsAmount=true | SupportsColor=true | SupportsMonochrome=true | SupportsHighDynamicRange= | SupportsNormalDynamicRange= | SupportsSceneReferred= | SupportsOutputReferred= | RequiresRGBTables= | CameraModelRestriction=","crs=http://ns.adobe.com/camera-raw-settings/1.0/ | rdf=http://www.w3.org/1999/02/22-rdf-syntax-ns# | x=adobe:ns:meta/ | xmp=http://ns.adobe.com/xap/1.0/","3","Contrast2012 | Exposure2012 | Texture","Contrast2012 | Exposure2012 | Group | HasSettings | Name | PresetType | ProcessVersion | SupportsAmount | SupportsColor | SupportsMonochrome | Texture | UUID","review","normalized-setting-match","review","The same normalized Camera Raw setting payload also appears at: Duplicates/exact-copy.xmp, Duplicates/settings-a.xmp, Duplicates/settings-b.xmp, Portraits/soft-portrait.xmp"
"fictional-xmp-release.zip","2026-08-31T05:00:00.000Z","50 MB ZIP · 100 MB expanded · 500 XMP files · 2 MB per XMP · 5,000 entries · 240-character paths","7","1","0","24","Duplicates/exact.xmp","850","389157f64617ee4f3291b9f034c43ada216ebaab50e6168752e19d2b81bedff7","bda8561a15fdd0927dfc79ac2d662e25a45313a53277003df3de2dce5465af9b","Fictional Soft Portrait","Fictional Studio Set","B1A8770E-EB38-4EDB-AEED-164933D55796","Normal","15.4","Fictional Preset Exporter 1.0","","SupportsAmount=true | SupportsColor=true | SupportsMonochrome=true | SupportsHighDynamicRange= | SupportsNormalDynamicRange= | SupportsSceneReferred= | SupportsOutputReferred= | RequiresRGBTables= | CameraModelRestriction=","crs=http://ns.adobe.com/camera-raw-settings/1.0/ | rdf=http://www.w3.org/1999/02/22-rdf-syntax-ns# | x=adobe:ns:meta/ | xmp=http://ns.adobe.com/xap/1.0/","3","Contrast2012 | Exposure2012 | Texture","Contrast2012 | Exposure2012 | Group | HasSettings | Name | PresetType | ProcessVersion | SupportsAmount | SupportsColor | SupportsMonochrome | Texture | UUID","review","repeated-identifier","review","The same preset identifier also appears at: Duplicates/exact-copy.xmp, Portraits/soft-portrait.xmp"
